Username,Password,Account,ProfileId,ClientReferenceId,GivenName,MiddleName,FamilyName,MaidenName,GovernmentId(SSN),DateOfBirth,Gender,GovernmentId(DMV),State,ValidTo,ContactEmailAddress,ContactPhoneNumber,CurrentAddressCountry,CurrentAddressLine1,CurrentAddressLine2,CurrentAddressMunicipality,CurrentAddressRegion,CurrentAddressPostalCode,UDF1,UDF2,UDF3,ERRDES
,,,,650921,test,test,test,test,234123679,8/22/1994,Male,1234567,FL,,Anand.Unnikrishnan@sterlingts.com,8956895240,USA,19770 Yvonne Dr,,Macomb,MI,48044,A,B,C,
,,,bkufmh7,885953,profile id test,,invalid other client id,,656589663,7/16/1987,m,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8956895240,USA,19770 Yvonne Dr,,Macomb,MI,48044,A,B,C,Invalid promo code for client: bkufmh7
,,,swtwnww,885954,profile id test,,invalid not client pays all,,656589664,7/17/1987,f,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8956895241,USA,9475 Crumps Mill Road,,Quinton,VA,23141,A,B,C,Promo code is not client pays all: swtwnww
,,,fpfkrc6,885955,profile id test,,invalid not client order drp down list,,656589665,7/18/1987,u,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8956895242,USA,1759 Juniper Dr.,,Conway,SC,29526,A,B,C,Promo code is not client orderable: fpfkrc6
,,,bfjnvd4,885956,,Given nm blank,Invalid one,,895850008,1/4/1987,m,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109506,USA,4411 East 4th Street,#4,Long Beach,CA,90804,A,B,C,Given name must have a value.
,,,bfjnvd4,885957,morethanthirtycharactersqwertyu,Given nm more thn thirty,Invalid two,,895850009,1/5/1987,f,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109507,USA,24 redwood dr,,Richboro,PA,18954,A,B,C,Given name must not exceed 30 characters.
,,,bfjnvd4,885958,123test,Given nm invalid,Invalid three,,895850010,1/6/1987,u,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109508,USA,3928 Mill Run Ct.,,Toledo,OH,43623,A,B,C,Given name must consist only of letters spaces hyphens and apostrophes.
,,,bfjnvd4,885959,!@#$%^&*()_+  test,Given nm invalid,Invalid four,,895850011,1/7/1987,,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109509,USA,1655 Valley Lane,,Fullerton,CA,92833,A,B,C,Given name must consist only of letters spaces hyphens and apostrophes.
,,,bfjnvd4,885960,Middle nm invalid,12test,Invalid one,,895850016,1/12/1987,f,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109514,USA,107 Overlook Dr,,Loveland,OH,45140,A,B,C,Middle name must consist only of letters spaces hyphens and apostrophes.
,,,bfjnvd4,885961,Middle nm more thn thirty,morethanthirtycharactersqwertyu,Invalid two,,895850017,1/13/1987,u,485985628,CO,,Anand.Unnikrishnan@sterlingts.com,8108109515,USA,650 Hartford St.,P.O. Box 112,Trubull,NE,68980,A,B,C,Middle name must not exceed 30 characters.
